FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4885,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Togblekope,N/a,Mare naturelle,{autre},1.1605719918239303,6.278044126699387,maritime,agoe nyive,legbassito,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4886,Centrale,Blitta,Blitta 1,Blitta,Sondoukope,Etang A1,Citerne,{autre},0.9672267810032636,8.322297534065392,centrale,blitta,blitta,retenues_eau,blitta
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4887,Kara,Bassar,Bassar 4,Sanda-Afohou,Afohou,Nsp,Mare artificielle,{elevage},0.9545215010835361,9.46711277999149,kara,bassar,sanda afohou,retenues_eau,bassar
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4888,Savanes,Tône,Tône 1,Dapaong,Sibortoti,Nsp,Retenue d'eau,{elevage},0.18582590671572707,10.90526590531744,savanes,tone,dapaong,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4889,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}",0.059840846249721316,10.863405531659309,savanes,tone,tami,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488a,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}",0.06280406231924938,10.858871593614062,savanes,tone,tami,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488b,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}",0.060303427186776344,10.860496963579369,savanes,tone,tami,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488c,Savanes,Tône,Tône 3,Warkambou,Warkambou Centre,Barrage de Warkambou Centre,Retenue d'eau,{autre},-0.01201835120401429,10.805421142252634,savanes,tone,warkambou,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488d,Maritime,Avé,Avé 1,Kévé,Vogankope,Nsp,Retenue d'eau,{elevage},1.0319391777370635,6.4656265186182384,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488e,Maritime,Avé,Avé 1,Kévé,Vogancope,Barrage de La Ferme de Vogancope,Barrage paysan,{elevage},1.0322314479279573,6.463996382003298,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488f,Maritime,Avé,Avé 1,Kévé,Assahoun Apeheme,N/a,Retenue d'eau,{irrigation},0.9087260013794883,6.433503084433961,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4890,Maritime,Avé,Avé 1,Kévé,Commissairecope,N/a,Barrage paysan,"{elevage,irrigation}",1.0266182442737957,6.485476880115538,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4891,Maritime,Avé,Avé 1,Kévé,Ahalime,Barrage Ahalime,Retenue d'eau,"{eau potable,elevage}",0.9542379160397596,6.465082414851698,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4892,Maritime,Avé,Avé 1,Kévé,Apeyeme,N/a,Retenue d'eau,{elevage},0.928730301164862,6.447842155444602,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4893,Maritime,Avé,Avé 1,Kévé,Keve,N/a,Retenue d'eau,{autre},0.9569224239117123,6.4130904664405,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4894,Maritime,Avé,Avé 1,Kévé,Dzogbegan,Barrage Gama,Retenue d'eau,{elevage},0.9674973214763571,6.397501435715655,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4895,Maritime,Avé,Avé 1,Assahoun,Djibikope,Nsp,Retenue d'eau,"{irrigation,elevage,autre}",0.9238949152222061,6.456602011710079,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4896,Maritime,Avé,Avé 1,Assahoun,Agbatame,Nsp,Retenue d'eau,{autre},0.9176891915080504,6.461913612254018,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4897,Maritime,Avé,Avé 1,Assahoun,Agbatame,Nsp,Retenue d'eau,{autre},0.9166048863729013,6.464333659630869,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4898,Maritime,Avé,Avé 1,Assahoun,Wokpo,Nsp,Retenue d'eau,{elevage},0.9668141853463325,6.521690332946415,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4899,Maritime,Avé,Avé 1,Assahoun,Apedokoe,N/a,Retenue d'eau,{eau potable},0.9021022654095954,6.447289913336143,maritime,ave,assahoun,retenues_eau,ave
